iter	F1	Logloss
205	0.7088337968	0.2755709724
206	0.7091963546	0.2754942657
207	0.7090435606	0.2754616312
208	0.7092458861	0.2753745663
209	0.7093642713	0.2752933248
210	0.7092039065	0.2751796395
211	0.7092383263	0.2751383928
212	0.7091619318	0.2750393774
213	0.7092651757	0.2749767994
214	0.709272738	0.2749516101
215	0.7093147118	0.2749072976
216	0.7094598592	0.2747417656
217	0.709933148	0.2747218154
218	0.7098491571	0.2746946225
219	0.7100360755	0.2746304739
220	0.7101466414	0.2745060719
221	0.7101046532	0.2744211143
222	0.7104438797	0.2742970343
223	0.7102571682	0.2742801053
224	0.71056209	0.2741273514
225	0.7108326931	0.2740137928
226	0.7106803003	0.2739953055
227	0.7106803003	0.2739951253
228	0.7109508894	0.2739135933
229	0.7111872821	0.2738743029
230	0.7117362014	0.273734663
231	0.7120827179	0.2736614903
232	0.7120406475	0.2736613432
233	0.7123449498	0.2736549513
234	0.7123789275	0.2734493893
235	0.7122268163	0.2733850133
236	0.7124630833	0.2733449921
237	0.7119305088	0.2732785107
238	0.7122688877	0.2732162727
239	0.7123870282	0.2731542849
240	0.7120146563	0.2731267798
241	0.7122429686	0.2729356232
242	0.7127251255	0.272889251
243	0.7129613227	0.2726865679
244	0.7123951317	0.2725628598
245	0.7123449498	0.2725256569
246	0.7126911947	0.2724912993
247	0.7125730821	0.2724262789
248	0.7125391294	0.2723389624
249	0.7126572559	0.2722005727
250	0.7127332861	0.2721725957
251	0.713037317	0.2721218637
252	0.713037317	0.2721202536
253	0.7132735002	0.2718791291
254	0.7132652459	0.2717186193
255	0.7131471752	0.2716553355
256	0.7133073562	0.2715568939
257	0.7135352104	0.2715023553
258	0.7133915919	0.2714698225
259	0.7133494716	0.2714601721
260	0.7136532672	0.271418492
261	0.7135607223	0.2713514635
262	0.7141256267	0.2712997534
263	0.714243586	0.2712368393
264	0.7142857143	0.2711681342
265	0.7143615453	0.2711394916
266	0.7144710461	0.2711072799
267	0.7145553197	0.2710187093
268	0.7143615453	0.2709497818
269	0.714243586	0.2709299805
270	0.7142351692	0.2708814966
271	0.7145468483	0.2707624611
272	0.7150521785	0.270636742
273	0.7155487445	0.2705884436
274	0.7152458437	0.270361669
275	0.7153551429	0.270310498
276	0.7154394859	0.2702621945
277	0.7158936885	0.2702467465
278	0.716095951	0.2701963647
279	0.7161891286	0.2701505374
280	0.7166008604	0.2700658477
281	0.7167364263	0.2700377185
282	0.7169544463	0.2699812886
283	0.7173234376	0.269929405
284	0.7171812397	0.2699133527
285	0.7172990808	0.2696581844
286	0.7175590505	0.2695732103
287	0.7172389422	0.2695090444
288	0.7173989869	0.2694551006
289	0.7173989869	0.2693420012
290	0.7174322733	0.2692363371
291	0.7174745274	0.2692066885
292	0.718105784	0.2691260678
293	0.7178520961	0.2690931132
294	0.7177253194	0.269050413
295	0.7185734463	0.2689797303
296	0.7188750294	0.2689423783
297	0.7191341686	0.2689305591
298	0.7191434286	0.268918337
299	0.7191434286	0.2688793738
300	0.7192187776	0.2688492829
301	0.719487089	0.2687514225
302	0.719487089	0.268746959
303	0.7194540855	0.2687151259
304	0.7195717395	0.2686715521
305	0.7195294118	0.2686241226
306	0.7194964113	0.2685501758
307	0.7194540855	0.2685444307
308	0.7195200847	0.2685040819
309	0.7194684542	0.2684502243
310	0.7193178477	0.2683872272
311	0.7193508555	0.2683581449
312	0.7194024584	0.2683028093
313	0.7194777699	0.268293858
314	0.7194261524	0.2682313675
315	0.7195437441	0.2681713734
316	0.7195437441	0.2681511473
317	0.7193838556	0.2680967498
318	0.7195767196	0.2680553777
319	0.7196613358	0.2679981087
320	0.7198871319	0.2679133873
321	0.7196706851	0.2678756087
322	0.7198212501	0.267841525
323	0.7200893645	0.2678191705
324	0.7201128482	0.2677883397
325	0.7201128482	0.2677491486
326	0.7201551755	0.2677043556
327	0.7203997648	0.2676750273
328	0.7203902898	0.2676458692
329	0.7204421189	0.2676027843
330	0.7203668862	0.2674911949
331	0.7204326358	0.2674603365
332	0.7205925578	0.2674376649
333	0.7206158909	0.2674229303
334	0.7205406994	0.2673395463
335	0.7206487249	0.2672974155
336	0.7205312023	0.2672743405
337	0.7206296992	0.2672053086
338	0.7206625162	0.2671176143
339	0.7206953253	0.267097674
340	0.7208223201	0.2670407741
341	0.7209630065	0.2669933285
342	0.7210053438	0.2669459804
343	0.7208223201	0.2669113329
344	0.7209534433	0.2668527845
345	0.721038107	0.2668080661
346	0.7213904057	0.2667454186
347	0.7211555399	0.2666752779
348	0.7210708624	0.2666361159
349	0.7211882816	0.2665756746
350	0.7214327657	0.2665542847
351	0.7215078386	0.2665330334
352	0.7213711334	0.2665095001
353	0.7214654767	0.2664670634
354	0.7212633556	0.266404588
355	0.7214231198	0.2663940388
356	0.7215732316	0.2663719085
357	0.721540539	0.2663371272
358	0.7215598755	0.2662752477
359	0.7217330046	0.2662430668
360	0.7212825934	0.266216852
361	0.721540539	0.2661577143
362	0.7215829028	0.2661276333
363	0.7214654767	0.2661063969
364	0.7214654767	0.2660991657
365	0.7216155923	0.2660603419
366	0.7216482742	0.2660101294
367	0.7217233081	0.2660047001
368	0.7216482742	0.2659968035
369	0.7217330046	0.2659634597
370	0.7217330046	0.2659055973
371	0.7217656727	0.2658778791
372	0.7219580912	0.2658505964
373	0.7220462279	0.2657962739
374	0.7222157024	0.2657697982
375	0.7225382676	0.2657171591
376	0.7225284391	0.2656829897
377	0.7227206098	0.2656589883
378	0.7226033421	0.2656297553
379	0.7227954972	0.2655937142
380	0.7231274177	0.2655241124
381	0.7233194632	0.2654959319
382	0.7232346909	0.2654008491
383	0.7233618568	0.265333049
384	0.7233294256	0.2653056035
385	0.7233493609	0.2652613458
386	0.7235514896	0.2652184209
387	0.7235190616	0.2652054664
388	0.7235190616	0.2651437258
389	0.7234017595	0.265115818
390	0.7234766289	0.2650767929
391	0.7235939241	0.2649910114
392	0.7234342013	0.2649278792
393	0.7234441903	0.2649005443
394	0.7235290667	0.2648008026
395	0.7239235011	0.2647691964
396	0.7239235011	0.2647491343
397	0.723848636	0.2646790551
398	0.7238385734	0.2646364097
399	0.7240631048	0.2645593157
400	0.7240631048	0.2645071839
401	0.7239458096	0.2644892295
402	0.7240307349	0.2644677278
403	0.7239235011	0.2644498258
404	0.7239235011	0.2644339589
405	0.7239983575	0.2644200457
406	0.7239983575	0.264376289
407	0.7241581603	0.2641681019
408	0.7241257921	0.2641550327
409	0.7241682802	0.2640995773
410	0.7242006454	0.2640734682
411	0.72405093	0.2640282075
412	0.72405093	0.2640109342
413	0.7243706355	0.2639736774
414	0.7243706355	0.263971619
415	0.7244029807	0.2639583582
416	0.7248298521	0.2639101427
417	0.7249046641	0.2638728504
418	0.7248621377	0.2638489581
419	0.7249046641	0.2638266088
420	0.7250542617	0.2637730957
421	0.7251612903	0.2637569203
422	0.7250865153	0.2637362958
423	0.7249046641	0.2637080408
424	0.7249046641	0.2636956639
425	0.7247227275	0.2636700816
426	0.7251173709	0.2636318639
427	0.725139337	0.2635879474
428	0.7251921836	0.2635698906
429	0.7250220006	0.2635415826
430	0.7248723816	0.2635128302
431	0.7247125088	0.2634925779
432	0.724797559	0.2634646089
433	0.7249794673	0.2634432153
434	0.7248723816	0.2633933938
435	0.7248944158	0.2633538081
436	0.7248944158	0.2633238879
437	0.7250117316	0.2633163571
438	0.7250337184	0.2632624567
439	0.7248944158	0.2632528167
440	0.7248518975	0.2630633039
441	0.7251187614	0.2630152696
442	0.7251187614	0.2630019503
443	0.7251084789	0.2629789755
444	0.7255350337	0.262953136
445	0.7255350337	0.2629390117
446	0.7254603026	0.2629225737
447	0.7255775771	0.2628895666
448	0.7254074335	0.262865231
449	0.7254074335	0.2628583828
450	0.7252682812	0.2628022557
451	0.725769569	0.2627382658
452	0.7256844697	0.2626203184
453	0.7256948516	0.2625518566
454	0.7256304985	0.2625237653
455	0.7256834448	0.2625024714
456	0.7257052372	0.2624629038
457	0.7255028441	0.2623955242
458	0.7255661152	0.2623723269
459	0.72567306	0.2623119322
460	0.7257903689	0.2622547512
461	0.7259719697	0.2622122884
462	0.7259719697	0.2621883255
463	0.7263559074	0.262072842
464	0.726323814	0.2620393505
465	0.7261848897	0.2620320657
466	0.7260354335	0.2620190613
467	0.7262596047	0.2619948095
468	0.7261848897	0.2619817598
469	0.726633048	0.2619374229
470	0.7262917131	0.261915052
471	0.7263127017	0.261887329
472	0.7260032856	0.2618590051
473	0.7263448114	0.2618205483
474	0.7263769136	0.261796357
475	0.7261632342	0.2617670368
476	0.7262379723	0.2617546054
477	0.7265258216	0.2617006878
478	0.7265258216	0.2616886866
479	0.7264405586	0.2616677338
480	0.7265900023	0.2616666293
481	0.726739411	0.2616338945
482	0.7268567406	0.2614805558
483	0.7268035191	0.2614407887
484	0.726654153	0.2614092238
485	0.7266435986	0.2613419863
486	0.7267929397	0.26129358
487	0.7267503225	0.2612313846
488	0.7267929397	0.2611984965
489	0.726824978	0.2611662652
490	0.7269422457	0.2611563392
491	0.7270275025	0.261140464
492	0.7270915167	0.2610769906
493	0.7271661391	0.261040345
494	0.7272087706	0.2609889277
495	0.7271981243	0.2609447364
496	0.7270062723	0.2609252554
497	0.7274325909	0.2608687287
498	0.7275817606	0.2607284051
499	0.7274325909	0.260638881
